Date,frbsf_sentiment,epu_index,epu_overall,epu_monetary,epu_fiscal,epu_taxes,epu_govt_spending,epu_healthcare,epu_national_security,epu_entitlement,epu_regulation,epu_financial_reg,epu_trade,epu_sovereign_debt
2009-04-13,,129.1914285714286,113.0508182,71.04363567,119.3916576,126.2978079,79.55924594,131.2365493,61.30825172,101.863045,171.193741,268.6270567,14.43913633,19.02429741
2009-04-20,,171.97857142857146,113.0508182,71.04363567,119.3916576,126.2978079,79.55924594,131.2365493,61.30825172,101.863045,171.193741,268.6270567,14.43913633,19.02429741
2009-04-27,-0.32666666666666666,139.32,113.0508182,71.04363567,119.3916576,126.2978079,79.55924594,131.2365493,61.30825172,101.863045,171.193741,268.6270567,14.43913633,19.02429741
2009-05-04,-0.23142857142857146,125.5,107.7207904,88.83601039,101.9246828,105.3630183,88.47570236,110.9807019,56.69502296,73.94863486,120.9377614,198.8163062,18.71831263,6.393937432
2009-05-11,0.02,156.57142857142858,107.7207904,88.83601039,101.9246828,105.3630183,88.47570236,110.9807019,56.69502296,73.94863486,120.9377614,198.8163062,18.71831263,6.393937432
2009-05-18,,105.61571428571429,107.7207904,88.83601039,101.9246828,105.3630183,88.47570236,110.9807019,56.69502296,73.94863486,120.9377614,198.8163062,18.71831263,6.393937432
2009-05-25,,102.15857142857145,107.7207904,88.83601039,101.9246828,105.3630183,88.47570236,110.9807019,56.69502296,73.94863486,120.9377614,198.8163062,18.71831263,6.393937432
2009-06-01,-0.3085714285714286,97.03142857142856,90.88646845,44.02606696,107.1718998,108.6412454,84.93373683,143.9224038,36.82917727,73.83488032,117.8420438,155.9799389,42.78323492,117.6828384
2009-06-08,-0.08800000000000001,96.29285714285716,90.88646845,44.02606696,107.1718998,108.6412454,84.93373683,143.9224038,36.82917727,73.83488032,117.8420438,155.9799389,42.78323492,117.6828384
2009-06-15,,102.39285714285714,90.88646845,44.02606696,107.1718998,108.6412454,84.93373683,143.9224038,36.82917727,73.83488032,117.8420438,155.9799389,42.78323492,117.6828384
2009-06-22,,138.36142857142858,90.88646845,44.02606696,107.1718998,108.6412454,84.93373683,143.9224038,36.82917727,73.83488032,117.8420438,155.9799389,42.78323492,117.6828384
2009-06-29,-0.31199999999999994,99.73857142857142,90.88646845,44.02606696,107.1718998,108.6412454,84.93373683,143.9224038,36.82917727,73.83488032,117.8420438,155.9799389,42.78323492,117.6828384
2009-07-06,-0.15714285714285717,120.12857142857145,104.9988722,46.60460584,121.0251355,125.0892383,100.8765342,230.3288655,55.26440748,112.9350467,129.198375,129.9993421,19.63977396,40.2521814
2009-07-13,,122.50428571428573,104.9988722,46.60460584,121.0251355,125.0892383,100.8765342,230.3288655,55.26440748,112.9350467,129.198375,129.9993421,19.63977396,40.2521814
2009-07-20,,127.06428571428572,104.9988722,46.60460584,121.0251355,125.0892383,100.8765342,230.3288655,55.26440748,112.9350467,129.198375,129.9993421,19.63977396,40.2521814
2009-07-27,-0.36,155.08571428571426,104.9988722,46.60460584,121.0251355,125.0892383,100.8765342,230.3288655,55.26440748,112.9350467,129.198375,129.9993421,19.63977396,40.2521814
2009-08-03,-0.2671428571428571,89.97285714285715,81.88142303,46.04740416,70.91820288,74.41968464,54.11112599,148.9590594,33.55575761,94.6600582,93.82413888,135.2418014,26.62323301,47.74432769
2009-08-10,-0.01,93.08857142857143,81.88142303,46.04740416,70.91820288,74.41968464,54.11112599,148.9590594,33.55575761,94.6600582,93.82413888,135.2418014,26.62323301,47.74432769
