Date,DJIA_Index
2025-02-17,10.678860133884012
2025-02-24,10.688322678705738
2025-03-03,10.664333567678304
2025-03-10,10.633164087405445
2025-03-17,10.645076026893504
2025-03-24,10.635468352107313
2025-03-31,10.553593089476388
2025-04-07,10.601938393790407
2025-04-14,10.574957214288732
2025-04-21,10.599468214992067
2025-04-28,10.629039723816172
2025-05-05,10.62739136134684
2025-05-12,10.660893683907503
2025-05-19,10.635929241603334
2025-05-26,10.651834549580283
2025-06-02,10.663425481689234
2025-06-09,10.650123128984518
2025-06-16,10.650337098340799
2025-06-23,10.687828953950904
2025-06-30,10.710600046069816
2025-07-07,10.700352875797487
2025-07-14,10.699691873019615
2025-07-21,10.712235834508741
2025-07-28,10.682550468422857
2025-08-04,10.695928105807894
2025-08-11,10.713219718042884
2025-08-18,10.728358806001776
2025-08-25,10.726453492418605
2025-09-01,10.723286326581306
2025-09-08,10.732786252688078
2025-09-15,10.743226991315959
2025-09-22,10.741758146629246
2025-09-29,10.752746631333766
2025-10-06,10.725019152751038
2025-10-13,10.740531809659164
2025-10-20,10.76230000765494
2025-10-27,10.769807693811629
2025-11-03,10.75762837493383
2025-11-10,10.761035840185784
2025-11-17,10.741717494772391
2025-11-24,10.773030852442066
2025-12-01,10.7780181416332
2025-12-08,10.788453754188213
2025-12-15,10.781762556970024
2025-12-22,10.793659540377718
2025-12-29,10.786891183522602
2026-01-05,10.809810167398942
2026-01-12,10.806882084743224
2026-01-19,10.801588040525049
2026-01-26,10.797378675875574
2026-02-02,10.822089012620323
2026-02-09,10.822203341580781
