Date,SOI_index
2009-01-05,1.1516129032258067
2009-01-12,1.3064516129032258
2009-01-19,1.4870967741935484
2009-01-26,1.667741935483871
2009-02-02,1.8370473996050032
2009-02-09,1.632142857142857
2009-02-16,1.257142857142857
2009-02-23,0.882142857142857
2009-03-02,0.5166392363396971
2009-03-09,0.4645161290322581
2009-03-16,0.5548387096774193
2009-03-23,0.6451612903225807
2009-03-30,0.7354838709677419
2009-04-06,0.7338709677419356
2009-04-13,0.53
2009-04-20,0.32
2009-04-27,0.10999999999999999
2009-05-04,-0.06875576036866361
2009-05-11,-0.05483870967741936
2009-05-18,-0.009677419354838712
2009-05-25,0.035483870967741936
2009-06-01,0.08064516129032258
2009-06-08,0.11333333333333333
2009-06-15,0.1366666666666667
2009-06-22,0.16
2009-06-29,0.18333333333333335
2009-07-06,0.17187403993855607
2009-07-13,0.08387096774193549
2009-07-20,-0.0064516129032258
2009-07-27,-0.0967741935483871
2009-08-03,-0.17465437788018434
2009-08-10,-0.10322580645161292
2009-08-17,0.00967741935483871
2009-08-24,0.12258064516129033
2009-08-31,0.23548387096774195
2009-09-07,0.15
2009-09-14,-0.19999999999999998
2009-09-21,-0.5499999999999999
2009-09-28,-0.8999999999999998
2009-10-05,-1.150921658986175
2009-10-12,-1.0451612903225806
2009-10-19,-0.9096774193548386
2009-10-26,-0.7741935483870968
2009-11-02,-0.6419508448540706
2009-11-09,-0.6166666666666666
2009-11-16,-0.6399999999999999
2009-11-23,-0.6633333333333332
2009-11-30,-0.6866666666666666
2009-12-07,-0.7387096774193548
2009-12-14,-0.8290322580645161
2009-12-21,-0.9193548387096774
2009-12-28,-1.0096774193548388
2010-01-04,-1.1
2010-01-11,-1.1903225806451612
2010-01-18,-1.2806451612903227
2010-01-25,-1.370967741935484
2010-02-01,-1.461290322580645
2010-02-08,-1.3857142857142857
2010-02-15,-1.1857142857142857
2010-02-22,-0.9857142857142857
2010-03-01,-0.7857142857142857
2010-03-08,-0.4548387096774193
2010-03-15,-0.025806451612903243
2010-03-22,0.4032258064516129
2010-03-29,0.8322580645161289
2010-04-05,1.1594470046082948
2010-04-12,1.1199999999999999
2010-04-19,1.05
2010-04-26,0.9800000000000001
2010-05-03,0.9073732718894009
2010-05-10,0.803225806451613
2010-05-17,0.6903225806451613
2010-05-24,0.5774193548387097
2010-05-31,0.46451612903225803
2010-06-07,0.54
2010-06-14,0.8666666666666666
2010-06-21,1.1933333333333334
2010-06-28,1.52
2010-07-05,1.78
2010-07-12,1.8
2010-07-19,1.8
2010-07-26,1.8
2010-08-02,1.8018433179723503
2010-08-09,1.8645161290322583
2010-08-16,1.9548387096774194
2010-08-23,2.045161290322581
2010-08-30,2.135483870967742
2010-09-06,2.1624423963133643
2010-09-13,2.0500000000000003
2010-09-20,1.9333333333333333
2010-09-27,1.8166666666666667
2010-10-04,1.7032258064516128
2010-10-11,1.6096774193548387
2010-10-18,1.5193548387096774
2010-10-25,1.4290322580645163
2010-11-01,1.3387096774193548
2010-11-08,1.5133333333333334
2010-11-15,1.8866666666666667
2010-11-22,2.2600000000000002
2010-11-29,2.6333333333333333
2010-12-06,2.850906298003072
2010-12-13,2.725806451612903
2010-12-20,2.5903225806451613
2010-12-27,2.454838709677419
2011-01-03,2.333179723502304
2011-01-10,2.3774193548387097
2011-01-17,2.467741935483871
2011-01-24,2.5580645161290323
2011-01-31,2.6483870967741936
2011-02-07,2.6785714285714284
2011-02-14,2.6285714285714286
2011-02-21,2.5785714285714287
2011-02-28,2.5285714285714285
2011-03-07,2.4419354838709677
2011-03-14,2.3064516129032255
2011-03-21,2.170967741935484
