Date,TA_Index
2009-01-05,0.6707671232876713
2009-01-12,0.672109589041096
2009-01-19,0.6734520547945206
2009-01-26,0.6747945205479452
2009-02-02,0.6761369863013699
2009-02-09,0.6774794520547945
2009-02-16,0.6788219178082192
2009-02-23,0.6801643835616439
2009-03-02,0.6815068493150686
2009-03-09,0.6828493150684932
2009-03-16,0.6841917808219178
2009-03-23,0.6855342465753425
2009-03-30,0.6868767123287671
2009-04-06,0.6882191780821918
2009-04-13,0.6895616438356165
2009-04-20,0.6909041095890411
2009-04-27,0.6922465753424658
2009-05-04,0.6935890410958905
2009-05-11,0.694931506849315
2009-05-18,0.6962739726027397
2009-05-25,0.6976164383561644
2009-06-01,0.698958904109589
2009-06-08,0.7003013698630137
2009-06-15,0.7016438356164384
2009-06-22,0.7029863013698631
2009-06-29,0.7043287671232877
2009-07-06,0.7056712328767123
2009-07-13,0.707013698630137
2009-07-20,0.7083561643835616
2009-07-27,0.7096986301369863
2009-08-03,0.711041095890411
2009-08-10,0.7123835616438356
2009-08-17,0.7137260273972603
2009-08-24,0.715068493150685
2009-08-31,0.7164109589041096
2009-09-07,0.7177534246575342
2009-09-14,0.7190958904109589
2009-09-21,0.7204383561643836
2009-09-28,0.7217808219178082
2009-10-05,0.7231232876712329
2009-10-12,0.7244657534246576
2009-10-19,0.7258082191780821
2009-10-26,0.7271506849315068
2009-11-02,0.7284931506849315
2009-11-09,0.7298356164383561
2009-11-16,0.7311780821917808
2009-11-23,0.7325205479452055
2009-11-30,0.7338630136986302
2009-12-07,0.7352054794520548
2009-12-14,0.7365479452054794
2009-12-21,0.7378904109589041
2009-12-28,0.7392328767123287
2010-01-04,0.7384383561643836
2010-01-11,0.7347945205479453
2010-01-18,0.7311506849315068
2010-01-25,0.7275068493150685
2010-02-01,0.7238630136986302
2010-02-08,0.7202191780821918
2010-02-15,0.7165753424657534
2010-02-22,0.712931506849315
2010-03-01,0.7092876712328767
2010-03-08,0.7056438356164384
2010-03-15,0.702
2010-03-22,0.6983561643835616
2010-03-29,0.6947123287671233
2010-04-05,0.691068493150685
2010-04-12,0.6874246575342465
2010-04-19,0.6837808219178082
2010-04-26,0.6801369863013699
2010-05-03,0.6764931506849315
2010-05-10,0.6728493150684931
2010-05-17,0.6692054794520548
2010-05-24,0.6655616438356164
2010-05-31,0.6619178082191781
2010-06-07,0.6582739726027398
2010-06-14,0.6546301369863013
2010-06-21,0.650986301369863
2010-06-28,0.6473424657534247
2010-07-05,0.6436986301369864
2010-07-12,0.6400547945205479
2010-07-19,0.6364109589041096
2010-07-26,0.6327671232876713
2010-08-02,0.6291232876712329
2010-08-09,0.6254794520547945
2010-08-16,0.6218356164383562
2010-08-23,0.6181917808219178
2010-08-30,0.6145479452054795
2010-09-06,0.6109041095890411
2010-09-13,0.6072602739726027
2010-09-20,0.6036164383561644
2010-09-27,0.5999726027397261
2010-10-04,0.5963287671232878
2010-10-11,0.5926849315068493
2010-10-18,0.589041095890411
2010-10-25,0.5853972602739727
2010-11-01,0.5817534246575343
2010-11-08,0.5781095890410959
2010-11-15,0.5744657534246576
2010-11-22,0.5708219178082192
2010-11-29,0.5671780821917809
2010-12-06,0.5635342465753425
2010-12-13,0.5598904109589041
2010-12-20,0.5562465753424658
2010-12-27,0.5526027397260275
2011-01-03,0.5496712328767124
2011-01-10,0.5485205479452055
2011-01-17,0.5473698630136987
2011-01-24,0.5462191780821918
2011-01-31,0.545068493150685
2011-02-07,0.5439178082191781
2011-02-14,0.5427671232876713
2011-02-21,0.5416164383561645
2011-02-28,0.5404657534246575
2011-03-07,0.5393150684931507
2011-03-14,0.5381643835616439
2011-03-21,0.537013698630137
2011-03-28,0.5358630136986302
2011-04-04,0.5347123287671233
2011-04-11,0.5335616438356164
2011-04-18,0.5324109589041096
2011-04-25,0.5312602739726028
2011-05-02,0.530109589041096
2011-05-09,0.528958904109589
2011-05-16,0.5278082191780822
2011-05-23,0.5266575342465754
2011-05-30,0.5255068493150685
2011-06-06,0.5243561643835617
2011-06-13,0.5232054794520549
2011-06-20,0.5220547945205479
2011-06-27,0.5209041095890411
2011-07-04,0.5197534246575343
2011-07-11,0.5186027397260274
2011-07-18,0.5174520547945206
2011-07-25,0.5163013698630137
2011-08-01,0.5151506849315068
2011-08-08,0.514
2011-08-15,0.5128493150684932
2011-08-22,0.5116986301369864
2011-08-29,0.5105479452054794
2011-09-05,0.5093972602739726
2011-09-12,0.5082465753424658
2011-09-19,0.5070958904109589
2011-09-26,0.5059452054794521
2011-10-03,0.5047945205479452
2011-10-10,0.5036438356164383
2011-10-17,0.5024931506849315
2011-10-24,0.5013424657534247
2011-10-31,0.5001917808219178
2011-11-07,0.49904109589041096
2011-11-14,0.49789041095890413
2011-11-21,0.49673972602739724
2011-11-28,0.4955890410958904
2011-12-05,0.49443835616438353
2011-12-12,0.4932876712328767
2011-12-19,0.49213698630136987
2011-12-26,0.490986301369863
2012-01-02,0.4905191256830601
2012-01-09,0.4941530054644809
2012-01-16,0.49778688524590164
2012-01-23,0.5014207650273224
2012-01-30,0.5050546448087432
2012-02-06,0.5086885245901639
2012-02-13,0.5123224043715847
2012-02-20,0.5159562841530054
2012-02-27,0.5195901639344263
2012-03-05,0.523224043715847
2012-03-12,0.5268579234972678
2012-03-19,0.5304918032786885
2012-03-26,0.5341256830601093
2012-04-02,0.53775956284153
2012-04-09,0.5413934426229509
2012-04-16,0.5450273224043716
2012-04-23,0.5486612021857924
2012-04-30,0.5522950819672131
2012-05-07,0.5559289617486339
2012-05-14,0.5595628415300546
2012-05-21,0.5631967213114755
2012-05-28,0.5668306010928962
2012-06-04,0.570464480874317
2012-06-11,0.5740983606557377
2012-06-18,0.5777322404371585
2012-06-25,0.5813661202185793
2012-07-02,0.5850000000000001
2012-07-09,0.5886338797814208
2012-07-16,0.5922677595628416
2012-07-23,0.5959016393442623
2012-07-30,0.599535519125683
2012-08-06,0.6031693989071039
2012-08-13,0.6068032786885246
2012-08-20,0.6104371584699454
2012-08-27,0.6140710382513661
2012-09-03,0.6177049180327869
2012-09-10,0.6213387978142076
2012-09-17,0.6249726775956285
2012-09-24,0.6286065573770492
2012-10-01,0.63224043715847
2012-10-08,0.6358743169398907
2012-10-15,0.6395081967213115
2012-10-22,0.6431420765027323
2012-10-29,0.6467759562841531
2012-11-05,0.6504098360655738
2012-11-12,0.6540437158469946
2012-11-19,0.6576775956284153
2012-11-26,0.6613114754098361
2012-12-03,0.6649453551912569
