series,n_obs,adf_statistic,p_value,critical_1%,critical_5%,critical_10%,stationary,trend_exists,crop,session,state,variable,category
corn_planting_CT_AWND,468,-2.7257050937967966,0.06969480777932976,-3.444868194858831,-2.867941416548597,-2.5701797149735146,No,Yes,corn,planting,CT,AWND,Corn Planting
corn_planting_DE_TMAX,468,-5.734954823016388,6.470407975745021e-07,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,DE,TMAX,Corn Planting
corn_planting_DE_TMIN,468,-3.7717845361126527,0.0032095538769468172,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,DE,TMIN,Corn Planting
corn_planting_DE_AWND,468,-4.0600975938386705,0.0011265360176178536,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,DE,AWND,Corn Planting
corn_planting_FL_TMAX,468,-5.42343216145892,3.02376517059392e-06,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,FL,TMAX,Corn Planting
corn_planting_FL_TMIN,468,-3.303775743990339,0.014710539935095912,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,FL,TMIN,Corn Planting
corn_planting_FL_AWND,468,-11.928378028550158,4.846249415576272e-22,-3.4444609168389615,-2.8677622536920317,-2.5700842229549266,Yes,No,corn,planting,FL,AWND,Corn Planting
corn_planting_GA_TMAX,468,-5.5505440897322424,1.6235859534031171e-06,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,GA,TMAX,Corn Planting
corn_planting_GA_TMIN,468,-4.201902305545618,0.0006540317189826812,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,GA,TMIN,Corn Planting
corn_planting_GA_AWND,468,-2.6603074275094127,0.08116223874840517,-3.444868194858831,-2.867941416548597,-2.5701797149735146,No,Yes,corn,planting,GA,AWND,Corn Planting
corn_planting_HI_TMAX,468,-5.585927269799988,1.3630460904471271e-06,-3.444932949082776,-2.867969899953726,-2.57019489663276,Yes,No,corn,planting,HI,TMAX,Corn Planting
corn_planting_HI_TMIN,468,-4.206478871893887,0.0006424573448212176,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,HI,TMIN,Corn Planting
